t,EGFR_Obs,pEGFR_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,46271889.6071455,2504.27314531975,0.0228211546936723,2.89841327746343e-05,215.316670202643,-7.29193396159075e-05,-157238.450934863
45,27823079.67671,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,2926049.34587174,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,13059046.2828988
85,NaN,NaN,NaN,NaN,189.814192532681,NaN,NaN
95,17080410.6796957,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,3674602.6035279,NaN,NaN,NaN,NaN,NaN
150,8055608.84030494,2952707.90148834,NaN,NaN,220.227038157006,NaN,8611319.22143084
200,6143518.7179301,NaN,NaN,NaN,NaN,NaN,NaN
250,NaN,1449541.69667272,NaN,NaN,237.618669995772,NaN,3486196.09924796
300,-426219.778043615,837100.075391082,0.00976234824482287,0.00814799780623957,NaN,NaN,2640225.45142543
350,-758827.831007333,NaN,NaN,NaN,214.0057060453,NaN,NaN
400,NaN,583462.082000472,NaN,NaN,NaN,NaN,1204390.22095106
450,-637927.950121643,NaN,NaN,NaN,NaN,0.00212517298407929,NaN
500,NaN,255101.463541105,NaN,NaN,227.046107879598,NaN,683826.430251998
600,NaN,294526.481224162,0.0198503714699264,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,0.000818294627346041,224.102113884714,NaN,297400.843308378
700,NaN,-178880.968430523,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,205.763745635568,NaN,-105053.056513739
900,NaN,-69448.5279064963,0.021497863144914,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,0.00194254717799423,NaN
1000,NaN,110285.961241859,0.0204743502637211,-1.65961389168069e-05,220.153770781257,NaN,-158766.157007919
1500,NaN,NaN,0.0215633851831788,-2.52509584793801e-05,238.325150942438,0.00167577664672965,NaN
2000,NaN,NaN,0.0193707814003422,-1.28509866328691e-05,NaN,0.00118659681456753,NaN
2500,NaN,NaN,0.0225815970256631,2.15134296017351e-05,NaN,0.00110659085558311,NaN
3000,NaN,NaN,0.014898620685015,-0.000103879002312152,NaN,NaN,NaN
3500,NaN,NaN,NaN,NaN,NaN,0.000889695331146587,NaN
4000,NaN,NaN,0.0192906521258154,NaN,NaN,0.000603328372439064,NaN
4500,NaN,NaN,0.0209594388710951,NaN,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,0.000338573747093747,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000263553488080188,NaN
7500,NaN,NaN,NaN,NaN,NaN,9.08830878923368e-05,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000163507343919141,NaN
