t,pAkt_Obs,S6_Obs,EGF_EGFR_Obs
0,1.18195112494728e-06,196.615971249701,1138.59560985596
40,NaN,NaN,3149981.48393538
75,NaN,NaN,3994960.49551322
100,NaN,110.782487436448,1222585.52467012
150,NaN,NaN,1569321.79437849
200,NaN,NaN,645134.012352871
250,NaN,187.012951626106,785878.923818112
300,NaN,NaN,234635.979050359
350,NaN,259.316852533806,NaN
400,0.000998004948690746,NaN,91686.8254834152
450,NaN,NaN,34877.9629229695
500,NaN,296.439093196014,NaN
550,NaN,NaN,16803.1925306619
650,NaN,176.73231359993,6744.19563505074
800,NaN,NaN,2596.7058557564
850,4.39790090843584e-05,200.384615169434,NaN
1000,NaN,161.986935002014,NaN
1500,3.13410996083906e-05,372.651383752801,NaN
2000,1.76647303870879e-05,188.697838041628,NaN
2500,1.70389573196828e-05,131.448735550768,NaN
3500,1.35197032586189e-05,NaN,NaN
