t,pEGFR_Obs,pAkt_Obs
0,15884.8835738702,6.67090852014043e-05
95,2949305.01141515,NaN
200,2062149.38649018,NaN
300,1233048.63456112,NaN
350,NaN,0.0138700316967801
400,703238.46075426,NaN
500,460510.413886164,NaN
650,295052.451357545,NaN
700,NaN,0.00381584968465877
800,4598.25388017489,NaN
950,90926.281562946,NaN
1000,91933.695438371,0.00111275233295345
1500,5646.70317616609,0.000267758815620675
2000,-48823.9380349612,-5.53645406257314e-05
2500,NaN,0.000221880796213857
3000,NaN,0.000299555803407421
4000,NaN,-8.26350290035649e-05
5000,NaN,0.000450063855998696
