t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,21095.7650058533,2.36198107682715e-08,0.0287876311962826,0,227.023942388271,1.39188204569371e-05
40,22574494.4039895,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,785.946406647487,NaN
85,3543030.72858202,NaN,NaN,NaN,NaN,NaN
150,1275452.83259393,NaN,NaN,NaN,81.9809036173324,NaN
200,118162.58570221,NaN,NaN,NaN,NaN,NaN
250,14965.3134068084,NaN,NaN,0.00611483668014088,391.962875044284,NaN
300,15637.8238890747,NaN,0.00325262750981267,NaN,173.737347764669,NaN
350,11902.0679554014,5.16829482373298e-06,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,349.516424407888,NaN
450,44959.3554938987,NaN,NaN,0.00343913857189615,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,0.00223814407080329
550,20137.526576683,NaN,NaN,NaN,377.317023254772,NaN
600,NaN,NaN,0.0142487808395386,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,144.600995888384,NaN
700,32132.1253662794,NaN,NaN,0.00271276073585767,NaN,NaN
750,NaN,2.47813435555427e-06,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,141.808658551242,NaN
950,NaN,NaN,0.0763971495436665,NaN,NaN,0.00152422365050302
1000,NaN,6.44575013136934e-06,NaN,0.00448808164385836,794.503246298323,NaN
1500,NaN,2.60811938429231e-06,0.154498276162911,0.000802232890035047,217.956527290604,0.00772518169900169
2000,NaN,6.78037249890571e-06,0.0435644907451686,0.00127628664879567,NaN,0.000463815180598404
2500,NaN,NaN,0.0143240025729044,0.0024494026473875,NaN,0.00519342107368302
3000,NaN,5.92986080856868e-06,NaN,0.000705500331160613,NaN,NaN
3500,NaN,NaN,0.0250555918013945,NaN,NaN,0.00386938409453148
4000,NaN,2.63063232633365e-06,0.0923967589564717,NaN,NaN,0.00166222075228985
5000,NaN,NaN,NaN,NaN,NaN,0.00315223235114494
6000,NaN,NaN,NaN,NaN,NaN,0.00172498013355986
7500,NaN,NaN,NaN,NaN,NaN,0.000935413206019641
8500,NaN,NaN,NaN,NaN,NaN,0.00262714090189921
