t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,47649803.8771796,3.87584050149321e-07,1.54384336340444e-05,-5.01722252757252e-07,3137.65600876532
150,33081167.0404232,NaN,NaN,NaN,715352.420012603
250,NaN,6.85787772518405e-05,NaN,NaN,NaN
300,21927224.4845603,NaN,NaN,2.58854199216584e-07,NaN
350,NaN,NaN,NaN,NaN,457775.325036892
450,17570196.66986,NaN,NaN,NaN,NaN
500,NaN,4.73236008049687e-05,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,311808.046541651
600,NaN,NaN,0.00109841794884813,1.86191494474135e-06,NaN
650,10376570.7854091,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,171223.753008303
800,NaN,2.90274514729165e-05,NaN,NaN,NaN
850,6242411.54667168,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,4.25715637668242e-06,NaN
1000,7441863.92292026,2.14235240434448e-05,0.00119798489087316,3.90658680812796e-06,139617.283757546
1500,1291709.72567314,8.80637232318094e-06,NaN,6.99031064229239e-06,30534.8996158198
2000,1968552.55348364,2.83454377795697e-06,0.000734087864796773,7.92850808203115e-06,NaN
2500,910794.112914998,NaN,0.000500628246281374,8.14380976399049e-06,NaN
3000,NaN,NaN,NaN,6.25183697654385e-06,NaN
3500,NaN,NaN,0.0002933464466907,6.28545051530384e-06,NaN
4500,NaN,NaN,0.000174173204911406,3.99510641613765e-06,NaN
5000,NaN,NaN,NaN,2.92353935082768e-06,NaN
5500,NaN,NaN,-6.46876066733414e-06,NaN,NaN
6000,NaN,NaN,NaN,1.69213927635464e-06,NaN
7000,NaN,NaN,4.03871771581386e-05,NaN,NaN
8500,NaN,NaN,-1.74108901124359e-05,NaN,NaN
