t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,53317646.7637141,81545532.1600238,46734601.7742159
35,47801833.9609062,NaN,NaN
40,NaN,16262653.9562947,NaN
45,NaN,NaN,1723537.0938241
70,29777969.0747146,NaN,NaN
80,NaN,4864733.68116635,NaN
90,NaN,NaN,430575.294516826
100,24140253.9482621,8583581.78715705,NaN
150,12982632.0030511,3417191.76562552,280496.609131446
200,4578375.48396451,NaN,104752.33340807
250,1491645.93410075,929988.942337626,56753.1965607446
300,NaN,583366.560414698,17483.1793686042
350,584141.751870092,219834.879299293,NaN
400,264407.746525913,NaN,16210.4790684116
450,156171.209319963,40257.7054663543,NaN
500,NaN,NaN,13721.5643834064
550,89371.3094230771,NaN,NaN
650,20586.1102262117,NaN,NaN
750,20408.7080229054,NaN,NaN
