t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,41504856.2493643,0.0410513877024557,919669.00173135
30,NaN,NaN,9365074.70672113
35,9183364.30329842,NaN,NaN
65,NaN,NaN,10250916.3579834
70,1525045.08435516,NaN,NaN
100,916636.39919638,NaN,6393813.23600233
150,-1024292.49966529,NaN,2254250.83130531
200,800252.076506543,NaN,590663.795939731
250,-669616.208756844,0.026515979131785,-564599.460574689
300,-1269015.6532563,NaN,NaN
350,NaN,NaN,475987.989597351
400,-423617.787516083,NaN,-216565.061462235
500,NaN,0.0296282833055817,990842.269516526
550,NaN,NaN,-499280.158767635
800,NaN,0.0415256737624173,NaN
1000,NaN,0.0362554766395132,NaN
1500,NaN,0.0399114774131013,NaN
2000,NaN,0.0443448237664046,NaN
2500,NaN,0.0250896084079746,NaN
