t,pEGFR_Akt_Obs,Akt_Obs
0,1.90025591154982e-07,0.0128825972436874
500,0.00011975692594514,0.00661651191983295
950,NaN,0.00650792535546603
1000,5.11923017631771e-05,NaN
1500,5.74206587316929e-05,0.0129741823515569
2000,NaN,0.00597803783505353
2500,9.89030758676183e-06,0.00993610027843428
3000,1.43041087030413e-05,NaN
3500,NaN,0.00450514698549012
4000,6.28602551733419e-06,0.0154480804803041
4500,2.32061771985938e-06,NaN
5000,NaN,0.0180896637010414
6000,1.22988965889656e-06,0.0175163593003427
7000,9.03798451791999e-07,0.0297480231428314
8500,NaN,0.00875497536059179
