t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,681.407431081291,0.153141131037532,7.37664234949407e-05
80,7307621.1716906,NaN,NaN
150,1482026.21622715,NaN,NaN
250,1001293.99314768,NaN,NaN
300,NaN,NaN,0.122970001857155
350,453427.788479783,NaN,NaN
450,12730058.044019,0.891015260224118,NaN
550,37856977.6229833,NaN,NaN
600,NaN,NaN,0.043040034967606
700,4633358.21234325,NaN,NaN
900,383405.748305053,NaN,NaN
950,NaN,0.0341245227046231,0.121243172675432
1000,884067.628773974,NaN,NaN
1500,3190.48331104501,0.973682235503475,0.000501331157036949
2000,NaN,0.225814860771238,5.77497804536371e-06
2500,NaN,0.00493227368955072,NaN
3000,NaN,NaN,7.82704572551168e-05
3500,NaN,0.366008069436033,0.00406276432295132
4000,NaN,1.17864789502016,9.85829072469093e-06
5000,NaN,0.0127926643654766,NaN
6000,NaN,1.66018639549036,NaN
7500,NaN,0.00417167236995532,NaN
