t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,9042.82775261816,-9.06313883671805e-06,-0.000195523404018955,-1.68620790132699e-06,-22916.0275050806
150,687114.482855401,NaN,NaN,NaN,653661.030640217
250,NaN,0.000153733130630497,NaN,NaN,478628.471829688
350,412707.639351667,NaN,NaN,NaN,NaN
400,NaN,NaN,0.00178517717171438,NaN,331563.549021391
450,NaN,NaN,NaN,1.92205919197877e-06,NaN
500,235591.463497163,NaN,NaN,NaN,NaN
550,NaN,7.48799075492318e-05,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,166800.13175997
700,153293.102634574,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,124452.288453848
850,NaN,4.31441957351259e-05,0.00290108650715346,NaN,NaN
900,NaN,NaN,NaN,1.1554268740526e-05,NaN
950,72648.7787579949,NaN,NaN,NaN,99261.2834181449
1000,68693.2531375754,1.98224951731309e-05,NaN,NaN,22053.8206668952
1500,94.4983689588153,1.48198845883696e-05,0.00233571449157627,1.64369952681042e-05,5731.75173344441
2000,16152.9353418688,NaN,NaN,1.4979384463025e-05,6913.56806935556
2500,-15299.3349314735,NaN,0.00136661934551985,1.51750499863535e-05,-2948.89632574376
3000,-14032.8377581128,NaN,0.000923732828342354,1.2872666363601e-05,NaN
3500,NaN,NaN,0.00085262518770467,NaN,NaN
4000,NaN,NaN,0.000688787007270602,7.75097039253097e-06,NaN
5000,NaN,NaN,0.000291671381999693,5.10400966271944e-06,NaN
6000,NaN,NaN,0.000418672874355314,2.97364777298874e-06,NaN
7000,NaN,NaN,0.000207267057949845,2.71368126572394e-06,NaN
8500,NaN,NaN,NaN,-2.41981631159665e-07,NaN
