t,pEGFR_Obs,Akt_Obs,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,12191.1444187347,0.0524523363648636,6.39532423871184e-06,0,0
35,NaN,NaN,NaN,NaN,10301722.7109658
40,7232242.39113048,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,5077705.22493753
80,7569416.88261209,NaN,NaN,NaN,NaN
100,15217904.0523365,NaN,NaN,NaN,2973135.93245602
150,3342643.40744654,NaN,NaN,NaN,1769162.29420171
200,3405060.80712635,NaN,NaN,NaN,771962.316713696
250,2682338.55886675,NaN,NaN,NaN,291403.541840997
300,1458087.93134425,0.0385639473406651,0.0169011796342445,NaN,NaN
350,NaN,NaN,NaN,NaN,29391.0904416879
400,160601.597302606,NaN,NaN,2.09296812749496e-06,10336.5521302496
450,83004.001743467,NaN,NaN,NaN,9370.89777866689
550,48414.1961510292,NaN,0.000410970458139312,NaN,5838.1863358624
650,20296.994821638,0.088733389568248,NaN,NaN,3358.5311609224
800,16021.7588024764,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,4.22764450605944e-06,NaN
900,NaN,NaN,8.11236677888752e-05,NaN,NaN
1000,NaN,0.0430193229026517,9.40487482739753e-05,NaN,NaN
1500,NaN,0.0484067940296654,5.58353815051499e-05,5.51025093139242e-06,NaN
2000,NaN,0.0587398460280417,8.8819567070876e-05,8.53409743788792e-06,NaN
2500,NaN,0.0698465246147916,5.48731719567895e-05,6.06438735518816e-06,NaN
3000,NaN,0.0268231771233552,NaN,1.67781671381015e-05,NaN
3500,NaN,NaN,0.000100929545606299,1.68882940942793e-05,NaN
4000,NaN,0.0480186144378362,NaN,NaN,NaN
4500,NaN,NaN,NaN,9.87357937385054e-06,NaN
5000,NaN,NaN,NaN,4.34812996649345e-06,NaN
6000,NaN,NaN,NaN,5.64505177516103e-06,NaN
7500,NaN,NaN,NaN,2.88447522445875e-06,NaN
8500,NaN,NaN,NaN,1.08398614276142e-06,NaN
