t,ApoER2_re_Dab1_Obs,Compound_1_Obs
0,0.000529225811886048,3.92293956184394e-11
15,NaN,8.85441579672892e-07
30,0.20443407732756,3.24977051553367e-06
45,NaN,5.02350441974448e-06
55,0.635933422578983,NaN
65,NaN,7.77741405113587e-06
80,NaN,6.49078056728245e-06
90,0.630393487168321,NaN
100,0.82356133847932,1.97851200754299e-05
150,0.986313458780992,1.616091608643e-05
200,0.991411677381123,3.66386193973515e-05
250,1.05286575896191,NaN
300,1.51812689603006,NaN
400,2.4981687052671,NaN
450,1.43607739543761,NaN
600,1.48307204165583,NaN
