t,ApoER2_Dab1SFK_Obs,Compound_1_Obs
0,4.82381316843298e-05,9.24092407591672e-05
15,3.91064158184443e-05,NaN
30,4.09383253499532e-05,NaN
35,NaN,0.00135323697393257
45,4.10316708402472e-05,NaN
60,4.12364183656095e-05,NaN
75,NaN,0.000850575347601615
80,3.66853945012444e-05,NaN
100,4.73594323371004e-05,0.000723661519662409
150,4.22360455754316e-05,0.000406252772980899
200,5.39371659518747e-05,0.000319049926175751
250,5.59505993548506e-05,0.000266518877373709
300,4.67499511160783e-05,0.000188867906133367
400,NaN,0.000127216586749128
500,NaN,8.45024086716079e-05
600,NaN,0.000107901130533047
