t,Compound_1_Obs,Compound_2_Obs
0,1.97520501729151,0.00262154134979132
25,1.60978947238261,0.00223054722407029
50,2.16715910410673,0.00212861416666851
75,2.08991426215542,0.00176269985542605
100,2.34832697133495,0.00242841365803585
150,2.65429225088808,0.00240299312932164
200,3.51075794984672,0.00297324005281364
250,3.37886085194217,0.0027598233228988
300,3.16761557710157,0.00251168160659126
350,4.45901589441555,0.00216180295886221
450,4.15163805294723,0.00190549145042509
550,5.32918578737323,0.00304162594477495
