t,ApoER2_Dab1_released_Obs,ApoER2_Dab1_Obs,Compound_1_Obs,Compound_2_Obs
0,4.00543945879144e-08,1.08610088593622,0.915501718903628,4.74165865564792e-08
4,NaN,NaN,NaN,4.48684784495295e-08
5.5,5.02589809191769e-08,NaN,NaN,NaN
8,NaN,NaN,NaN,3.04979163212039e-08
10,3.55351645700118e-08,NaN,NaN,4.28969223597448e-08
15,4.83115014596537e-08,NaN,NaN,5.11959097421533e-08
25,2.64355625154979e-08,0.822914693329041,NaN,3.35269938300361e-08
30,6.29014128370768e-08,NaN,1.23110892734596,3.41273362810455e-08
35,NaN,NaN,NaN,3.80516995881895e-08
40,4.54388779293773e-08,NaN,NaN,NaN
50,NaN,1.20283297504716,NaN,NaN
60,NaN,NaN,0.946711976975771,NaN
75,NaN,1.11997397243693,NaN,NaN
90,NaN,NaN,0.978999007768603,NaN
100,NaN,1.01294078177285,NaN,NaN
150,NaN,0.903517388143134,1.33409566708634,NaN
200,NaN,0.739039058100705,1.11937934369085,NaN
250,NaN,1.34051445372575,0.969732699642203,NaN
300,NaN,1.25417539645782,NaN,NaN
350,NaN,1.6597080523167,1.14821398503975,NaN
450,NaN,1.31618921316008,1.26780503869279,NaN
550,NaN,1.63166454432882,1.51410625347507,NaN
