t,SFK_Obs,ApoER2_Dab1SFKInh_Obs
0,9.52820268984528e-10,0.000927923959639549
15,NaN,0.00102200379777587
25,1.13258953453346e-09,NaN
30,NaN,0.00109723614679334
50,9.79033162862426e-10,0.000868475101953069
70,NaN,0.00091588669610179
80,9.40005772589553e-10,NaN
90,NaN,0.000878656357637192
100,1.18080940255873e-09,0.000938994453905868
150,1.02578799954326e-09,0.000976845452655306
200,1.05624977548067e-09,NaN
250,9.15103131828874e-10,NaN
300,9.49801203979662e-10,NaN
350,8.04366674712637e-10,NaN
450,9.37882921643301e-10,NaN
550,8.89454205848512e-10,NaN
