t,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs
0,0.00017165147378051,0,0.000683239944206792
20,NaN,NaN,0.000670969549416286
25,NaN,0.000222108814158383,NaN
30,0.00158172663751709,NaN,NaN
40,NaN,NaN,0.000458116487891836
45,NaN,0.000170102813143513,NaN
60,NaN,NaN,0.000631636381847418
65,0.00106397773270105,NaN,NaN
70,NaN,0.000114694394928765,NaN
80,NaN,NaN,0.000483493930202055
100,0.000722584755675169,7.9214380205714e-05,0.000620152125831278
150,0.000494608064835437,6.31072742327638e-05,0.000545167771448214
200,0.000252230710098323,3.75968351563768e-05,0.000447774949207009
250,0.000234127189459088,2.76130511308297e-05,0.000529232733620628
300,0.000236771524339102,1.63752767742551e-05,0.000609410578053893
350,0.000191188866355756,1.17332328426028e-05,NaN
400,0.000111521854409203,NaN,NaN
500,0.000105632174633352,NaN,NaN
600,0.000118210330722647,NaN,NaN
