t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_re_Dab1SFKInh_Obs,SFK_Obs
0,1.13526988554905,9.49560195591694e-12,-4.72171199000635e-13,5.20083982916582e-05,4.48980613365265e-10
8,NaN,NaN,NaN,NaN,-1.99285540693805e-11
9,NaN,-1.16802651707423e-13,NaN,NaN,NaN
10,NaN,NaN,3.61089523386183e-12,NaN,NaN
15,NaN,NaN,NaN,NaN,1.63165312805656e-11
20,NaN,-1.09118349020481e-15,1.18404965846782e-11,NaN,NaN
25,NaN,NaN,NaN,NaN,2.36444106290356e-11
30,0.604786866831438,1.56805403973008e-13,1.02074404200269e-11,NaN,NaN
35,NaN,NaN,NaN,NaN,1.59726313648599e-11
40,NaN,5.41511240418042e-14,NaN,0.000601975148756419,NaN
45,NaN,NaN,1.00273634929524e-11,NaN,4.0488294377651e-12
55,NaN,1.76222558163003e-13,NaN,NaN,NaN
60,0.325539740198825,NaN,3.12531620327242e-12,NaN,-3.08059397310195e-11
70,NaN,-4.3708649524322e-13,NaN,NaN,NaN
75,NaN,NaN,1.07726629940479e-11,NaN,2.26097593306399e-12
80,NaN,NaN,NaN,0.00099520740651482,NaN
85,NaN,-1.23445159815748e-14,NaN,NaN,NaN
90,0.251578400581387,NaN,NaN,NaN,-1.20074259921466e-11
95,NaN,NaN,8.54992229081245e-12,NaN,NaN
100,NaN,6.46678063845516e-13,1.17385515116924e-11,NaN,2.86152563919676e-12
150,-0.0606632995178055,-3.8635828558448e-13,5.14667111408993e-13,0.00097563890987848,-2.07364510049596e-12
200,-0.0281293435102496,NaN,NaN,0.000936266811553982,NaN
250,-0.118660500853897,NaN,NaN,0.000691092418031943,NaN
300,NaN,NaN,NaN,0.00195702087486538,NaN
350,-0.0547696297173082,NaN,NaN,0.00156376546215175,NaN
400,-0.0767231210415505,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,0.000680907338437577,NaN
500,-0.155042091213557,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,0.00104505152014726,NaN
