t,AC_Obs,Csub_Obs,RII_C_2_Obs
0,1.01798755926619,0.165012928689178,0.496938483100584
0.15,0.605769377394751,NaN,NaN
0.35,0.609992878833473,NaN,NaN
0.55,0.623741379844128,NaN,NaN
0.8,0.627111852591144,NaN,NaN
1,0.599483375743424,NaN,NaN
1.5,0.614327827967792,NaN,NaN
2,0.638914289887162,0.20755224477462,0.542129460321131
4,NaN,0.262902563149105,NaN
4.5,NaN,NaN,0.494196570171467
6,NaN,0.308539298583223,NaN
6.5,NaN,NaN,0.442692107469065
8.5,NaN,0.312396246296497,NaN
9.5,NaN,NaN,0.486436879126899
10,NaN,0.328834288082114,0.489438693614095
15,NaN,0.329107904739793,0.387075894367957
20,NaN,0.421029465000703,0.418797644537365
25,NaN,0.375640303362604,0.479015165441864
30,NaN,0.39950892704183,0.425259950557924
40,NaN,0.432247231472137,0.43932421294127
