t,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_7_Obs
0,0.343858523509227,1.00150541001172,0.00719783627386114,0.366243722663712
10,0.130218376901626,NaN,NaN,NaN
15,NaN,0.768459090283683,-0.00728702803402301,NaN
25,0.208892569007095,NaN,-0.00337687244237158,0.257699688988786
35,NaN,1.00470891087878,NaN,NaN
40,0.464157298901116,NaN,-0.0072618092666985,NaN
50,NaN,NaN,NaN,0.171193784693438
55,0.14521474299153,1.03239313647296,0.01913975093714,NaN
75,3.66161571735398,1.14974696842704,0.242744362505905,0.610869714860095
95,3.70943952901322,1.14034582434587,0.249162877778152,NaN
100,3.94501265194621,1.0926124322057,0.251359340438004,0.721875506913114
150,3.68304167009231,1.09240866315137,0.255228386828425,0.786010154521727
200,NaN,1.09962845235312,0.234082967376531,0.965206982199604
250,NaN,1.10356182630065,NaN,0.876944075052349
300,NaN,1.28370160268257,NaN,0.88054621668009
350,NaN,NaN,NaN,0.855126124423884
450,NaN,NaN,NaN,0.891660725374726
