t,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,-0.051761478486456,0.0439878054806395,0.136029523131977
3,-0.00683795140279875,NaN,NaN
6,-0.0320220886987158,NaN,NaN
8.5,NaN,0.0702672066453811,NaN
9,-0.127068984201894,NaN,NaN
10,NaN,NaN,-0.115579337272201
15,0.32942785565875,NaN,NaN
20,0.153191780612581,0.0165152611304584,0.339931278645984
25,0.176991851274621,NaN,NaN
30,0.273950801981399,0.008604749788866,0.18151361436467
40,0.187035983786061,0.0126617894595874,NaN
45,0.26206156632848,NaN,0.435508305141269
55,NaN,NaN,0.395565861716167
60,NaN,0.024630297933129,NaN
70,NaN,NaN,0.52026361905644
85,NaN,NaN,0.308541127839668
100,NaN,NaN,0.344496035720785
150,NaN,NaN,0.0393228194884486
200,NaN,NaN,0.477186923603493
