t,RIIp_2_Obs,Csub_Obs
0,0.102767319079657,0.37771124366412
6.5,0.0733850210058037,NaN
15,0.263788837188289,NaN
20,0.184367040974792,0.343543563743966
30,0.263589641219951,NaN
40,0.120626633533343,NaN
45,NaN,0.303365204068131
50,0.166990758013612,NaN
60,0.178029611865159,NaN
65,NaN,0.292987825986088
90,NaN,0.550333335148642
100,NaN,0.38552696096745
150,NaN,0.289532540383491
200,NaN,0.734545267121114
250,NaN,0.473872691421839
300,NaN,0.667615900144572
350,NaN,0.661102062951622
450,NaN,0.596661580771128
