t,RIIp_Sp8_Br_cAMPS_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,Csub_Obs
0,0.0162198105231716,-6.62553394334863e-05,0.0387645486950026
5,0.283517284878232,NaN,0.167650567301537
5.5,NaN,0.00166748425326334,NaN
10,0.147138545411211,0.00129238756956681,0.568620111799719
15,0.229377699220688,NaN,0.751364967973081
20,0.269448832985855,0.000877508961811383,NaN
25,NaN,0.00074847945133761,0.452833497018313
30,0.0365987111337712,NaN,0.496721817970371
35,0.0894719515480507,0.00054100304919492,NaN
40,NaN,0.000366698215722369,0.606726587319017
45,0.122737022236821,NaN,NaN
50,NaN,0.000928084585624264,0.793554173550447
55,0.145879913207428,NaN,NaN
65,NaN,0.000635151364126258,NaN
70,0.216871615835236,NaN,NaN
80,NaN,0.000347527412222208,NaN
85,0.0856016624231578,NaN,NaN
95,NaN,0.000514103326111151,NaN
