t,RII_C_2_Obs,Sp8_Br_cAMPS_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs
0,0.426574726722815,-0.066249628791293,-0.0401956356028125,0.107705995801703,0.280995243849542
0.2,NaN,NaN,-0.261497101510581,NaN,NaN
0.35,NaN,NaN,-0.120572234910243,NaN,NaN
0.55,NaN,NaN,-0.155826190854046,NaN,NaN
0.75,NaN,NaN,0.0441996716798921,NaN,NaN
0.95,NaN,NaN,0.0967484075537955,NaN,NaN
1,NaN,NaN,-0.240751508888243,NaN,NaN
1.5,NaN,NaN,0.00266039273611296,NaN,NaN
2,NaN,NaN,-0.0136925552805738,NaN,NaN
2.5,NaN,NaN,0.0318152083558366,NaN,NaN
3,NaN,NaN,0.235791490709952,NaN,NaN
3.5,NaN,NaN,0.162064498771725,NaN,NaN
4,NaN,NaN,-0.0542103844211866,NaN,NaN
4.5,NaN,NaN,-0.071584995032322,NaN,NaN
5,0.554467884014114,NaN,0.202675804438282,NaN,NaN
5.5,NaN,NaN,-0.0869797786607001,0.117654278178259,NaN
6,NaN,0.910300756100163,NaN,NaN,NaN
6.5,NaN,NaN,0.0584746590399882,NaN,NaN
7.5,NaN,NaN,0.0612716004094312,NaN,NaN
8.5,NaN,NaN,-0.0992132198541703,NaN,NaN
9.5,NaN,NaN,0.198134495810638,NaN,NaN
10,0.500225570070995,NaN,0.0777620137522528,0.115753058146124,NaN
15,0.573351353949318,2.94865544831072,0.0424229726134494,0.114096549172851,0.276950966389186
20,0.640388396554798,6.0142773294062,0.106962713401935,NaN,NaN
25,NaN,NaN,-0.0111778169617663,0.183063772483768,NaN
30,0.53591067680848,8.04234809506013,NaN,0.161264232991849,0.215218662764924
35,0.631946884502487,NaN,NaN,NaN,NaN
40,NaN,10.2916930344109,NaN,0.128111236299566,NaN
45,0.517026890186663,NaN,NaN,NaN,NaN
50,0.56889587088778,NaN,NaN,0.179038168156802,0.239598017658052
55,NaN,8.97423125531228,NaN,NaN,NaN
65,0.716534544646196,NaN,NaN,NaN,0.254944044589306
75,0.556267391372582,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.251793262732578
90,0.545588197165754,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,0.258942051497943
150,NaN,NaN,NaN,NaN,0.298777412778578
200,NaN,NaN,NaN,NaN,0.259440108002114
250,NaN,NaN,NaN,NaN,0.219366213546355
300,NaN,NaN,NaN,NaN,0.296095165766369
