t,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,Sp8_Br_cAMPS_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs,Csub_Obs,RIIp_2_Obs,AC_Fsk_Obs
0,0.0154687141123692,0.000585148204723141,-0.363060709847538,0.0869980806851326,0.078060303868608,0.140459718937088,0.378126759128695,0.154938799394615
9,NaN,NaN,NaN,NaN,0.0690983574073375,NaN,NaN,NaN
10,0.0316440098314126,0.000283170340626983,NaN,1.07676578507845,NaN,0.35689976788848,0.270487915199794,NaN
15,NaN,NaN,-0.0636667361498097,NaN,NaN,NaN,NaN,NaN
20,0.00780203322743171,NaN,NaN,NaN,0.0340073120048423,NaN,0.222080789147352,0.654991349167581
25,NaN,0.000853410310760655,0.183113301369268,-0.528873226920497,NaN,0.119978953729992,NaN,NaN
30,NaN,NaN,NaN,NaN,0.0361202004069969,NaN,NaN,NaN
35,0.00032491565246667,NaN,NaN,0.295155873536503,NaN,NaN,0.264440398811675,NaN
40,NaN,0.000640876433132539,-0.101315935882899,NaN,0.0677857946232363,0.25803854013737,NaN,0.545503352098165
45,NaN,NaN,NaN,NaN,NaN,NaN,0.171448187039583,NaN
50,0.0250894319538004,NaN,NaN,0.985560827159531,NaN,NaN,NaN,NaN
55,NaN,0.00145682396993267,NaN,NaN,0.0185636980700095,0.210480719630492,NaN,NaN
60,NaN,NaN,-0.23638359200794,NaN,NaN,NaN,0.321945300543117,NaN
65,0.0319471806015638,NaN,NaN,NaN,NaN,NaN,NaN,0.139085605464871
70,NaN,9.46707819130025e-05,NaN,-0.0478952941067371,0.0307232895328855,0.220508996312605,NaN,NaN
80,NaN,NaN,0.176668902439636,NaN,NaN,NaN,0.0958007429714933,NaN
85,0.0192784123689076,NaN,NaN,NaN,NaN,NaN,NaN,-0.463167635998016
90,NaN,0.00128500132932642,NaN,-0.209023423363147,0.0314604917574127,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,0.282335197237503,NaN,NaN
100,0.0337512623417741,0.00149234676271021,-0.366875045120203,0.42783869138091,NaN,0.131394494312525,0.249331576758144,0.426071543316707
150,NaN,NaN,0.829302072365531,NaN,NaN,NaN,NaN,0.318250131720038
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.859121595756028
250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.231712802942863
300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.350394190736245
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.172735827722195
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0788209897362308
