t,RII_C_2_Obs,RIIp_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.449486444731413,0.202853344220073,0.0922607279494145,0.0987948128367976
4.5,NaN,0.226836551441494,NaN,NaN
5.5,0.661006647395251,NaN,NaN,NaN
8.5,NaN,NaN,0.101371655256121,NaN
9,NaN,0.194010477209727,NaN,NaN
9.5,NaN,NaN,NaN,0.0547177245329624
10,0.567235143988836,NaN,NaN,NaN
15,NaN,0.0606561521958927,NaN,NaN
20,0.317261383342886,0.058121518703126,0.10065987180952,0.610971804819508
25,0.487637560656609,0.0495577983277914,NaN,NaN
30,NaN,0.0686008760046427,0.0726571637967122,0.652761712878088
35,0.432358976783653,NaN,NaN,NaN
40,NaN,0.024199836656389,0.0506380130373257,0.690524328376286
45,0.799585508192816,0.049295326164126,NaN,NaN
50,NaN,NaN,NaN,0.539016322847128
55,0.761609001295964,0.0617638871748875,0.079404308106525,NaN
65,NaN,NaN,NaN,0.564613852948371
70,NaN,0.0295692271187309,0.0622746946446629,NaN
80,NaN,NaN,NaN,0.66958837048812
100,NaN,NaN,NaN,0.547762943675893
150,NaN,NaN,NaN,0.440933328905595
200,NaN,NaN,NaN,0.464658847374925
