t,RIIp_C_2_Obs,pAC_Fsk_Obs
0,0.282680207718208,0.0110941064550665
4.5,NaN,-0.069731029633647
9,0.298128352952088,0.0299685995602162
15,NaN,0.0596130925935284
20,0.292290337435825,-0.152213369914002
25,NaN,-0.121565070594898
30,0.293298520268381,0.0362251133722184
40,0.283654374387018,-0.142760173955346
50,0.309964974002598,-0.00824018455203318
60,0.286852090179528,-0.10470270962238
70,NaN,0.13761412787982
75,0.195569002434033,NaN
90,0.142812258836227,-0.00825507441268283
100,0.148300859294326,NaN
150,0.127432679216299,NaN
