t,AC_Fsk_Obs,pAC_Fsk_Obs
0,-0.0187762343111108,-0.02837775036268
4,NaN,-0.0266175268862331
8,NaN,0.029327279288742
15,NaN,0.0387230952259361
20,NaN,-0.00316023036188733
25,0.0216969854996369,-0.0621527935831554
30,NaN,-0.0568665761622169
40,NaN,0.0452046594351927
45,-0.0325962405754843,NaN
70,0.031629894624675,NaN
95,0.038198508659531,NaN
150,-0.00344187642626425,NaN
200,-0.0614419091922116,NaN
250,0.0172576931017288,NaN
300,-0.0925010707535663,NaN
350,0.0547931032098557,NaN
450,0.0475962122339107,NaN
