t,pAC_Obs,RIIp_2_Obs,AC_Fsk_Obs
0,0.216450533663011,0.0834205924744241,0.00336325920372304
3.5,-0.0282050287941037,NaN,NaN
7,-0.200676714035853,NaN,0.0106383421479948
10,0.130900520797339,NaN,NaN
15,-0.084457623420524,NaN,-0.0167786163244574
20,0.175154773695818,0.0542491967043149,0.0338635040025724
25,-0.0304935253912424,NaN,NaN
30,-0.0102540769891226,NaN,-0.00921152499166693
35,0.199589492921423,NaN,NaN
40,0.0507473969378881,NaN,-0.0211553032301397
45,NaN,0.0489072575741061,NaN
50,0.0132472692083002,NaN,0.000834236239432825
60,0.0222857240126763,NaN,NaN
65,NaN,NaN,0.212007446867551
70,-0.197739361506048,0.220622121045036,NaN
80,0.0565555927263482,NaN,0.206840386130514
95,NaN,0.239488047128765,NaN
100,-0.156210468808672,0.244209958512583,0.211746754994729
150,NaN,0.185653284021948,NaN
200,NaN,0.145730762369183,NaN
250,NaN,0.215641113107759,NaN
300,NaN,0.16949277919496,NaN
350,NaN,0.160957318628135,NaN
400,NaN,0.117109847539379,NaN
