t,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs,RII_2_Obs,RII_C_2_Obs
0,0.109694503307,0.463938318383002,0.00377333267598399,0.000226566524131514,-0.0227232869409295,0.0810945488925597,0.428709243803645
4,NaN,0.421145158109137,NaN,NaN,NaN,NaN,NaN
4.5,0.146545109221328,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,NaN,0.380109939756174
6,NaN,NaN,0.0310780783649629,0.00199160452703053,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,0.0771079955996031,NaN
8.5,NaN,0.430932246482894,NaN,NaN,NaN,NaN,NaN
9.5,0.138738162849183,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.0312919600875583,0.00192898371335953,NaN,NaN,0.454195830054715
15,0.150053221860112,0.399150263059823,NaN,NaN,0.0239599855624977,0.0890463590949301,0.416278355026964
20,0.184347051658407,0.399357119835614,0.0296159233722093,0.00170773919095916,NaN,0.0779557803140031,NaN
25,0.162669831858351,0.350066951466421,0.0292748074003798,0.00163465453955703,NaN,NaN,0.42676996850572
30,NaN,0.345843470839178,NaN,NaN,0.0539609456806752,0.091340212811475,0.429137881930899
35,0.179722720373808,NaN,0.0271088006187926,0.00170331870523644,NaN,0.0749575026638809,0.432154839505088
40,0.156272710228185,0.383792966051836,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,0.0281711373200034,0.00174637504199305,-0.091953937160685,0.0826442593427304,0.412748927126547
50,0.177761459651106,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,0.00161912427133093,NaN,0.086916447085138,0.440283066713786
60,0.175439015469425,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.0843938982377825,NaN,0.445247377655465
70,NaN,NaN,NaN,NaN,NaN,0.0845336414697862,NaN
75,0.153977945306083,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,0.39182216354523
85,NaN,NaN,NaN,NaN,-0.0453546777506301,0.0794326299779159,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,0.407045700863394
100,NaN,NaN,NaN,NaN,0.176506243022815,0.0777862922417072,NaN
150,NaN,NaN,NaN,NaN,0.0555924345631478,NaN,NaN
200,NaN,NaN,NaN,NaN,-0.0739205508981603,NaN,NaN
