t,pAC_Obs,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,RII_2_Obs,RII_C_2_Obs
0,0.0345435400865805,0.126824516721188,0.470331417065472,0.00632948711581189,0.000631371384043022,0.0728115146682698,0.445932805056428
15,-0.0295701699588262,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.431450339872669,NaN,NaN,0.070241929951137,NaN
25,NaN,0.0992194768920366,NaN,0.00186115642475462,0.000452666265074204,NaN,0.422333911317742
30,-0.0397749495438155,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,0.107932630662886,NaN
45,NaN,0.0735964726315532,0.436051371879737,0.00400557088341191,NaN,NaN,NaN
50,-0.00678965007853017,NaN,NaN,NaN,0.000508518671096286,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,0.411815474416824
65,0.0415105764963976,NaN,NaN,NaN,NaN,0.109537360606833,NaN
70,NaN,0.136018115102732,0.211678983422519,0.0964683690912468,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.0055738233257941,NaN,NaN
85,0.0611064312361065,NaN,NaN,NaN,NaN,NaN,0.417229114293802
90,NaN,NaN,NaN,NaN,NaN,0.164885844351485,NaN
100,-0.180639249586223,0.115699658444581,0.22325683471001,0.0807838865235689,0.00490880422932461,0.159588407579874,0.389217775392537
150,-0.0130355008965492,0.0821343317063822,0.204620738179603,0.0718437474960043,0.00417277101852773,0.241276374149745,0.386092738270735
200,0.036145444722769,0.0586025584680404,0.12917867512097,0.0662234665868121,0.00384630634251308,0.298053416050167,0.32521186794921
250,-0.0443370116211445,0.0496501453456826,NaN,0.0662725205948804,0.00410398244019506,0.342569187147515,0.336146943596935
300,0.0366008244528148,0.0390638243664149,NaN,0.0536268305630957,0.00342112546692186,0.397008475656341,NaN
350,-0.00567618508843335,0.0318543849607938,NaN,0.0518795110341463,NaN,0.403438533872549,0.298023949474763
400,NaN,NaN,NaN,NaN,0.00295724508101399,NaN,NaN
450,0.0214808655271431,0.0192990756168111,NaN,0.0430225231657509,NaN,0.480182383585209,0.28245557608743
