t,AC_Fsk_Obs,cAMP_Obs,Csub_Obs,RII_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.0217332185147236,-0.32885243445125,0.187668686018282,0.558210269841348,-0.00595367563658768,0.0822843329191301
2.5,NaN,3.71108375968335,NaN,NaN,NaN,NaN
4,0.241925170775814,NaN,NaN,NaN,NaN,NaN
5.5,NaN,3.89918881426193,NaN,NaN,NaN,NaN
7.5,NaN,NaN,0.232186912728457,NaN,NaN,NaN
8.5,0.274361458945967,NaN,NaN,NaN,NaN,0.0565577665487017
9,NaN,3.97533095450054,NaN,0.602663881935071,NaN,NaN
10,NaN,3.80304472551953,NaN,NaN,0.0811276198223635,NaN
15,0.25192862069354,4.44886779075846,0.211020093842213,NaN,NaN,NaN
20,0.295003266268171,4.32156820032924,NaN,0.593913662746743,0.0815064373441968,0.0492845234931955
25,0.25134335951798,3.15412479485361,0.277707905433486,NaN,NaN,0.0691718592268278
30,NaN,NaN,NaN,0.726854661680473,NaN,NaN
35,0.283306147168856,NaN,0.294763188809405,NaN,0.070546511172016,0.0582274001917946
40,NaN,NaN,0.342209329748768,0.563633537836806,NaN,NaN
45,NaN,NaN,NaN,NaN,0.080089074992759,NaN
50,NaN,NaN,NaN,0.648313890465687,NaN,0.0489130229931059
55,NaN,NaN,0.289526141616951,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.088636306671587,0.0506046658957778
65,NaN,NaN,0.294269865732507,0.635179541160821,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.0400048501352058
80,NaN,NaN,0.250252904100204,0.622236215976341,0.0889218077030587,NaN
90,NaN,NaN,NaN,NaN,NaN,0.0410140496552643
95,NaN,NaN,NaN,0.598805500546452,NaN,NaN
100,NaN,NaN,0.285527332356847,0.494039098059327,NaN,0.0533556145478117
150,NaN,NaN,NaN,0.574321180938153,NaN,0.0463128766906325
