t,RIIp_Sp8_Br_cAMPS_C_2_Obs,pAC_Fsk_Obs,AC_Fsk_Obs,Compound_2_Obs,Compound_3_Obs
0,-0.0168482633736567,0.0594248207969971,0.0683958438648615,1.16265838953679,0.316532346284021
3,NaN,-0.064921126804016,0.0916946376387815,NaN,NaN
4,0.344330589801989,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,1.42547253023392,NaN
6,NaN,NaN,NaN,NaN,0.385237451547772
6.5,NaN,0.0439858223093411,-0.093960580950181,NaN,NaN
8,0.325824811268968,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,1.50175515617828,NaN
10,0.34046249116013,0.141835389244318,0.0270525711170908,NaN,NaN
15,0.292067262280059,-0.0160588426368303,-0.0464203402608853,1.21077491275335,0.625320800998996
20,NaN,-0.0199420762062087,0.0922894086157767,1.31496291299041,0.605082693533269
25,0.329298592801817,0.0653916355508116,0.00676180048488766,NaN,NaN
30,0.296422127584361,-0.00762635704444903,-0.230410825474032,1.40223894195869,0.647808252154239
35,0.289507127415666,NaN,NaN,1.4635445274505,NaN
40,NaN,NaN,NaN,NaN,0.718093595430006
45,NaN,NaN,NaN,1.46813736986666,NaN
50,NaN,NaN,NaN,NaN,0.796998220245951
