t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,-0.0641973592925551,0.233078365794312,0.0216105087091152,0.0911678082887554
0.15,0.1273569002749,NaN,NaN,NaN
0.35,0.264206635241864,NaN,NaN,NaN
0.5,0.301919182396863,NaN,NaN,NaN
0.7,0.219529081570458,NaN,NaN,NaN
0.95,0.23467776935492,NaN,NaN,NaN
1,0.31707221579893,NaN,NaN,NaN
1.5,0.410971386092122,0.0122524313425347,NaN,NaN
2,NaN,NaN,NaN,0.0142380610735317
2.5,NaN,NaN,0.213751764370314,NaN
3.5,NaN,-0.00220329233395374,NaN,0.0641235645072974
5,NaN,NaN,0.139059577831633,NaN
5.5,NaN,-0.00241923931933058,NaN,0.0665208269948204
7.5,NaN,NaN,0.226180120508604,0.0637853554748147
8,NaN,0.00875838728039935,NaN,NaN
9.5,NaN,NaN,NaN,0.0740180210668396
10,NaN,0.000485695722186689,0.168540497574633,0.0640307308672444
15,NaN,-0.00527931079705528,0.0748279328946665,0.0283819003380652
20,NaN,0.0151560715891609,0.157921131919183,0.0462360362187019
25,NaN,NaN,0.103106616379855,0.0923367960632023
30,NaN,NaN,0.110940079898456,0.0921641166049804
40,NaN,NaN,0.112815619923589,0.0979893759158257
