t,S3_Obs,ppS3_ppS3_ppS3_Obs,geneA_Obs,geneD_Obs,geneG_Obs
0,34.2446149408982,1.65055899777285e-17,1.09570600825817,0.842796982253969,1.38947998498214
10,NaN,NaN,0.550164831960593,0.490973670848922,0.744163439885867
15,16.5232469578185,1.11729111715721e-17,NaN,NaN,NaN
20,NaN,NaN,NaN,1.40526981655137,NaN
25,NaN,NaN,1.09733091542623,NaN,1.18392711077668
30,17.3983609877151,6.75279488266547e-18,NaN,NaN,NaN
35,NaN,NaN,1.64059722376103,1.35045877969531,NaN
40,NaN,NaN,NaN,NaN,0.834915611535546
45,20.5600902788542,1.14959027067208e-17,NaN,NaN,NaN
50,NaN,NaN,1.63692450807874,1.30251629183065,NaN
55,NaN,NaN,NaN,NaN,1.30441460222181
60,13.8125456803943,NaN,NaN,NaN,NaN
65,NaN,1.2327556606757e-17,NaN,2.01874539501694,NaN
70,NaN,NaN,1.72934140277285,NaN,1.27930375563175
80,24.6604268864061,NaN,NaN,NaN,NaN
85,NaN,NaN,1.20925053022741,1.22055912668301,NaN
90,NaN,1.38351160707684e-17,NaN,NaN,0.945355126287531
100,20.1970142868695,NaN,NaN,NaN,NaN
