t,pS2_Obs,ppS3_Obs
0,0.521030859186091,0.00754107417501713
35,17.1856432026002,NaN
50,NaN,0.192718553494261
70,13.7685559210583,NaN
95,NaN,0.18173024938061
100,10.1646638164859,NaN
150,4.71848510869519,0.196497661478979
200,2.81697894977782,0.179512846147513
250,0.57456301655508,0.151328788283101
300,0.20828129535699,NaN
350,0.621294312588759,0.0706198839565217
400,NaN,0.0252322864584704
450,0.717962130890566,NaN
500,0.0865354013266611,0.00569387033442668
600,NaN,0.00119943481676274
650,0.455234866625525,NaN
700,NaN,-0.00657146487460697
850,NaN,-0.00945107185378318
