t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1.0238220010674,277.786597045795,281.339609729706,2.09642840526031,1.00525721232483
10,0.955256025436107,303.393632944968,NaN,NaN,NaN
15,NaN,NaN,278.631954817352,2.24057999207947,0.987842376223416
20,NaN,284.22481483482,NaN,NaN,NaN
25,1.0883666298527,NaN,284.522831361034,1.95128006984603,0.93454559129091
35,NaN,293.782540923723,NaN,NaN,NaN
40,1.04135945388753,NaN,296.951255582508,1.99329785760856,0.951067293231529
50,NaN,312.793413528267,NaN,NaN,NaN
55,0.994814858205488,NaN,NaN,1.89756880481676,NaN
60,NaN,NaN,325.095953624424,NaN,1.05413370168171
65,NaN,301.431589907461,NaN,NaN,NaN
70,1.00613595421922,NaN,NaN,NaN,NaN
75,NaN,NaN,260.054091585905,1.97097131232504,NaN
80,NaN,288.874581825338,NaN,NaN,1.04490152574305
90,0.913982549906487,NaN,NaN,NaN,NaN
100,NaN,NaN,311.155162457063,2.04807265025059,0.980461899026036
