t,ppS2_S4_S4_Obs,geneJ_Obs
0,0.00964391891911276,0.759007437560525
50,13.0158925040956,NaN
70,NaN,0.556877181441184
100,18.3682650554763,NaN
150,18.7176789772081,0.295782666394736
200,15.8692183842866,0.410557339484717
300,21.9886267019012,0.448413545705362
350,11.0235971388744,NaN
400,NaN,0.356048031625107
450,13.1162167404249,NaN
500,NaN,0.462431414634637
550,7.02586566848386,NaN
600,NaN,0.570754954380513
650,6.85818544634128,NaN
700,NaN,0.70385603001054
750,5.33721997601943,NaN
850,NaN,0.611046813492429
950,3.93681020430729,NaN
1000,3.87299406770349,0.530172812079921
1500,NaN,0.908757127711952
