t,Compound_2_Obs,Compound_3_Obs,Compound_7_Obs,Compound_9_Obs
0,2.57632108057191,3.0592101885224,1.34658953391217,1.72713814725597
35,NaN,8.10182511679569,NaN,2.41627801045591
40,3.00960447315284,NaN,NaN,NaN
65,NaN,NaN,1.95612592217307,NaN
75,NaN,NaN,NaN,5.20362703269631
80,1.58386629756799,7.52578318350583,NaN,NaN
100,NaN,7.05267401412951,NaN,4.27660137953753
150,2.24830824657817,NaN,4.22390730201156,6.49875836588043
200,3.74508103493746,3.87704798395324,6.95613997898979,2.89258709620846
250,0.923765941338212,4.55385785082447,NaN,3.24660257421935
300,2.04293534938154,2.52142292608916,3.54404596672561,3.90688959821129
350,NaN,NaN,NaN,3.31841494345401
400,NaN,NaN,3.34397095199926,NaN
450,NaN,NaN,NaN,1.02034393538153
500,NaN,NaN,4.26843255909791,NaN
550,NaN,NaN,NaN,2.56212811522198
650,NaN,NaN,9.79460036381295,2.88702048186235
800,NaN,NaN,2.11174819556381,NaN
