t,ppS2_ppS3_ppS3_Obs,geneE_Obs,geneI_Obs,TGFb_pRec_Obs
0,0,0.96343849992228,1.31672642257091,0.00011310584186609
40,1.6504617975912,NaN,NaN,NaN
45,NaN,NaN,1.02826727655418,NaN
50,NaN,NaN,NaN,0.293972505473968
65,NaN,3.85702450106696,NaN,NaN
85,1.47849981016171,NaN,NaN,NaN
90,NaN,NaN,1.08375251438629,NaN
100,NaN,NaN,NaN,0.20886142603511
150,1.06160877768354,3.70125830724937,0.830311705163832,0.107358867010089
200,0.80727281710804,3.77780874586993,0.832930110644287,0.0870640761331539
250,0.545380530506865,NaN,0.975676551590431,NaN
300,0.262520839779197,3.55842310823305,0.590684720307194,0.0314307946352652
350,0.174372976269254,NaN,NaN,0.0150078902203311
400,NaN,3.6494134154605,0.688710890257683,NaN
450,0.037740283134338,NaN,NaN,0.00402660653294574
500,NaN,2.83895061445052,0.410108538797107,NaN
550,0.00340266483087924,NaN,NaN,NaN
600,NaN,2.29147358620534,0.385999655118702,NaN
650,0.00032292260147065,NaN,NaN,NaN
700,NaN,NaN,0.214498812486734,NaN
750,NaN,1.88880130246172,NaN,NaN
950,NaN,1.11837699624993,NaN,NaN
1000,NaN,1.12489259475498,NaN,NaN
