t,S2_Obs,ppS3_Obs,ppS2_ppS3_ppS3_Obs,geneI_Obs
0,129.274198526801,0.0109331247642069,0,0.754380931154758
45,88.1348476555147,NaN,NaN,NaN
50,NaN,2.51101427689594,NaN,NaN
55,NaN,NaN,29.2936059117403,NaN
70,NaN,NaN,NaN,0.748219641759692
95,131.571493204013,NaN,NaN,NaN
100,NaN,1.40570736690985,16.451080860194,NaN
150,134.734420977969,1.62086800856798,15.140152851613,0.900667669653756
200,196.3176827857,1.18727818071364,NaN,0.957839402395518
250,164.164662811055,NaN,8.24506452759868,NaN
300,88.7385987740949,2.57172228204165,5.42639509155605,1.02794467914819
350,NaN,2.82545417137217,NaN,0.942850961081795
400,181.494547312806,1.87758638657039,5.83245018979181,NaN
450,131.207928575683,NaN,5.13845376202521,0.42333085441523
500,NaN,1.19665134873192,NaN,NaN
550,253.301871493815,NaN,NaN,0.701631865016037
600,NaN,1.26645754342906,1.61729217555324,NaN
650,155.189541996359,NaN,NaN,NaN
700,NaN,1.2735736039566,0.951986147528531,0.78759343741532
750,99.3740235670372,NaN,NaN,NaN
850,NaN,0.776078570302119,NaN,0.849342943886191
900,165.959443231666,NaN,0.688256027543073,NaN
1000,146.883571281666,0.944866424259282,0.405240084681436,0.620672892886493
1500,NaN,NaN,NaN,0.802426395749276
