t,Compound_1_Obs,Compound_3_Obs,Compound_4_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs
0,3.54934482645736,70.9390067489795,8.75197810690066e-18,0.988534711737189,0.810523047216352,2.9879898300691,2.09670391614782,2.17317169647846,2.72359992884912
9.5,NaN,NaN,NaN,NaN,NaN,NaN,1.72469075955058,NaN,NaN
10,5.0777332852942,75.312791023425,8.10064690505251e-18,1.22340823654073,1.09120408639288,1.92032326444723,NaN,1.98315861001591,3.0281488349008
20,3.79890087718741,NaN,NaN,1.00640220147109,0.952107328334161,NaN,2.40395522466283,NaN,2.89512339205192
25,NaN,74.4716114762107,1.48869212672431e-17,NaN,NaN,2.04476232736014,NaN,1.83252744663363,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,1.46855908370342,NaN,NaN
35,3.87631104379402,NaN,7.18940632716184e-18,0.891661613276444,1.03813075411052,2.02259567796506,NaN,NaN,2.70506763321816
40,NaN,69.8587747093044,NaN,NaN,NaN,NaN,1.52042936584956,1.74324908240231,NaN
45,3.46944604744867,NaN,NaN,NaN,1.03396764580579,NaN,NaN,NaN,2.55763972056909
50,NaN,NaN,1.08168768207361e-17,1.06787413922946,NaN,1.87517359432457,NaN,NaN,NaN
55,NaN,61.5520257741738,NaN,NaN,NaN,NaN,2.61599689234697,2.07818169405619,NaN
60,NaN,NaN,NaN,NaN,0.974092013663885,NaN,NaN,NaN,2.62762274061905
65,5.03886640850697,NaN,9.63357714001494e-18,1.20141020824026,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,1.46822858374838,2.34481606214532,2.21670085044047,NaN
80,4.09297277350917,79.1642688307706,1.22580315231463e-17,NaN,0.970093767674493,NaN,NaN,NaN,2.52189815818156
85,NaN,NaN,NaN,0.996025591604893,NaN,NaN,1.44056439489893,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,1.56612238179682,NaN,2.09084195954318,NaN
100,NaN,NaN,9.84285446449643e-18,NaN,NaN,NaN,NaN,NaN,NaN
