t,S3_Obs,ppS2_ppS3_S4_Obs,geneG_Obs,Rec_Obs
0,13.2704892715346,-0.175475429570222,0.6979987751954,3.07745682546342
30,NaN,NaN,NaN,2.68433926183527
35,NaN,3.21923319131209,NaN,NaN
40,NaN,NaN,14.355526693839,NaN
50,4.19539521762546,NaN,NaN,NaN
60,NaN,NaN,NaN,2.49845348694978
75,NaN,3.26461683378562,NaN,NaN
85,NaN,NaN,14.7098310208885,NaN
95,NaN,NaN,NaN,2.52992272968849
100,4.28658392655985,3.12210909300311,NaN,NaN
150,5.39677364307162,2.71902063919818,13.1536526979791,2.23350535547517
200,7.39230074127833,2.16992845421404,11.799143149483,2.1832810110854
250,NaN,1.59837161270071,10.1376330444816,2.23195750580064
300,10.4139879217718,0.961761997899846,8.01623170670457,NaN
350,11.9641249317719,NaN,5.89777421453398,2.111281879857
400,12.5493049952611,0.307537962621442,NaN,2.20958276571271
450,NaN,0.244740899598111,3.35714347870886,NaN
500,13.8689094500509,NaN,2.2358409661053,2.37963605923851
550,NaN,0.122435195894253,NaN,NaN
600,14.3360506451715,NaN,NaN,NaN
650,NaN,-0.00444228959938929,1.2180000480983,NaN
750,14.4571508022099,NaN,0.784555845856983,NaN
850,14.7030934591454,NaN,NaN,NaN
1000,14.4143765889297,NaN,NaN,NaN
1500,14.3042322299862,NaN,NaN,NaN
