t,pS2_Obs,geneD_Obs,geneE_Obs,geneJ_Obs
0,0,1.03746976927112,1.28603996690702,2.25855458843311
40,9.90206219176516,NaN,NaN,NaN
45,NaN,NaN,4.83834650083869,NaN
55,NaN,NaN,NaN,0.311366994293136
65,NaN,1.82265630269504,NaN,NaN
80,48.226191218777,NaN,NaN,NaN
95,NaN,NaN,4.78663431515522,NaN
100,39.3543897026365,NaN,NaN,0.68805540173521
150,55.7781828869164,3.54706555705303,3.76365657845081,1.27365879160187
200,48.1517928776126,2.84567398817537,3.16977796558252,NaN
250,NaN,NaN,7.83357402659043,0.943848260856091
300,13.0129180402392,3.95625264240461,3.12563376454096,0.811012359499401
350,8.89987201469022,1.57040608485696,NaN,1.36456489001165
400,7.41224189283404,NaN,2.87194180705678,NaN
450,NaN,7.86060124338643,1.43813489312164,1.03680912915212
500,1.91659695892738,NaN,NaN,NaN
550,NaN,3.16986303398242,2.13192157784949,1.46354374084313
600,1.54533762984474,NaN,NaN,NaN
700,0.327757563810045,3.02047505231491,3.06852331908128,2.38137597324389
850,NaN,1.69160370641594,1.47676628454411,2.04530647303587
1000,NaN,2.35272920656083,1.92324599857495,NaN
1500,NaN,0.563377921133518,NaN,NaN
