t,TGFb_Obs,ppS2_ppS3_S4_Obs,geneA_Obs,geneD_Obs,geneF_Obs,geneG_Obs,geneK_Obs
0,0.941683132490029,-0.170463757872937,1.23359118120059,0.807255744003744,-1.54404199154943,2.14492769052152,0.997395661561719
50,NaN,0.626843928446522,NaN,NaN,NaN,5.31605182104242,NaN
55,NaN,NaN,NaN,NaN,12.4239343945008,NaN,NaN
70,NaN,NaN,0.529468900656678,1.62800837554672,NaN,NaN,0.605319269299524
80,0.5365018259247,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,0.891968502286308,NaN,NaN,9.37003272680587,7.49442282994282,NaN
150,0.49518181568544,0.84926643639532,2.25262816524613,1.64056871448042,7.27225591285543,6.53274133371183,0.728274856971051
200,NaN,0.591936008606253,1.85749205663899,1.66536530250638,NaN,3.52169093801447,1.09860560146139
250,0.268157078533548,NaN,NaN,NaN,11.806290181219,NaN,NaN
300,NaN,0.292045038329624,1.8326620130327,4.54397194707619,7.23735154278415,2.72841399223835,0.783100966293476
350,0.155881670787516,0.33317893490684,NaN,3.82119573460648,NaN,4.45517558191778,0.204090209686358
400,NaN,NaN,1.96401699288104,NaN,6.00306782263304,NaN,NaN
450,-0.0537067364052415,-0.0410075067956158,NaN,1.8975438225675,7.7802806459874,0.652055625239198,0.052092656307199
500,NaN,0.135407385794017,0.808180064375543,NaN,NaN,NaN,NaN
550,-0.0712058821704091,NaN,NaN,4.12263608797394,6.33452007706283,2.59045033164522,NaN
600,NaN,NaN,1.51511168351185,NaN,NaN,NaN,0.330803014505763
650,NaN,0.117220416069577,NaN,NaN,3.39851184801765,NaN,NaN
700,0.0271184762487413,NaN,0.654594881951339,4.354094569053,NaN,2.59061853453548,0.767704407408671
750,NaN,-0.12832264499842,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,2.39562158305077,1.06089559514076,NaN
850,NaN,NaN,1.28226819081342,4.37557355537742,NaN,NaN,0.820463301225678
900,0.136821458040758,0.0212317553492089,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,2.49453674336164,NaN,NaN
1000,0.118809704906045,NaN,1.28140361711392,2.34262186463037,-4.25667096945068,1.93076166604153,0.290957224392409
1500,-0.213956522406785,NaN,0.983380747621774,-0.0180047822675327,1.83366932810135,NaN,0.595320137423491
