t,Rec_Obs,ppS2_ppS2_ppS2_Obs,ppS3_ppS3_ppS3_Obs,ppS2_Obs,ppS3_Obs,ppS3_S4_S4_Obs,geneG_Obs
0,1.9610629467287,-0.000438946772489282,0.0869447936531127,0.0135129833268718,0.0582786044727949,0.117453364769267,0.904676304535002
9.5,2.32214527717573,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,-0.0210699156333856,-0.00768508976852922,0.00207304011546905,-0.132236125693284,NaN,1.07251714734627
15,NaN,NaN,NaN,NaN,NaN,-0.0258399400358494,NaN
20,2.35323623751573,NaN,NaN,0.0185229514083511,0.0624494607787494,NaN,NaN
25,NaN,0.0307422259775202,-0.050146872217457,NaN,NaN,0.132052282996768,1.00118706121928
30,2.4090213228298,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,-0.00685196587659981,0.0424860687990947,NaN,NaN
40,NaN,-0.0423767374429137,0.0529522487917832,NaN,NaN,-0.018681701531865,1.10040830361653
45,2.39252860208705,NaN,NaN,NaN,0.121879107555871,NaN,NaN
50,NaN,NaN,NaN,-0.0395211042099528,NaN,NaN,NaN
55,2.49169776225662,0.0476465762040138,0.0142515358229375,NaN,NaN,NaN,0.974525740454098
60,NaN,NaN,NaN,NaN,0.0277360939748641,0.0574356974981936,NaN
65,NaN,NaN,NaN,-0.0575369493671406,NaN,NaN,NaN
70,NaN,0.0132092475209225,0.13699065573475,NaN,NaN,NaN,NaN
75,2.37581614234495,NaN,NaN,NaN,0.0193868549359799,NaN,1.07537504763528
80,NaN,NaN,NaN,NaN,NaN,-0.0145486789796287,NaN
85,NaN,NaN,NaN,0.0783958049547675,NaN,NaN,NaN
90,NaN,0.0921889767545599,0.100971255993857,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.0440475425953906,NaN,1.03651522577131
100,NaN,NaN,NaN,NaN,NaN,-0.0235011623686207,NaN
