t,Rec_Obs,TGFb_pRec_Obs,ppS2_S4_S4_Obs,geneJ_Obs
0,1.0713755996571,0.00168887132074339,1.01742760652398,1.24438431517364
50,NaN,NaN,5.28737791985792,NaN
60,0.888721091492686,0.0749334618341442,NaN,NaN
75,NaN,NaN,NaN,0.399586107781237
100,1.12492859809804,NaN,6.3567005417629,NaN
150,NaN,0.0473710530790365,4.10641826284412,0.410448792423164
200,0.903876573482024,0.0422738804639081,3.02698771523557,NaN
250,0.57057028280418,0.0251818524718568,2.92744782246352,0.661824802737851
300,NaN,NaN,NaN,0.660466705606466
350,0.450068041993077,0.0201246357889507,2.34636337252406,NaN
400,0.386676014319688,NaN,1.74135076282641,0.912594871779255
450,NaN,0.0156714911582728,NaN,NaN
500,0.243300622037511,NaN,0.808392230182707,NaN
550,NaN,0.00271695734136056,NaN,0.969052081604902
600,0.277687239326943,NaN,1.40304838612672,NaN
650,NaN,NaN,NaN,1.15995182207767
700,NaN,-0.000114019321956456,0.51114181461867,NaN
750,0.557364638474836,NaN,NaN,NaN
800,NaN,NaN,0.443471042264926,0.424438328658005
850,0.450746548491088,0.00895765663670996,NaN,NaN
950,NaN,NaN,1.81882020685982,NaN
1000,0.0910882785436209,0.00227318000450465,0.0289522099979858,1.1291869342221
1500,0.0988987599163973,NaN,NaN,1.19745297962189
