t,ppS3_ppS3_ppS3_Obs,geneA_Obs,Compound_2_Obs
0,0.0987953794128713,1.28155007628473,4.18165251202071
10,-0.0135859451329931,0.888484059350786,3.28918108357227
25,0.00299874434898071,1.0528070371192,4.41893374768022
35,NaN,0.921746903998801,4.06795328632731
40,-0.0498196494897576,NaN,NaN
50,NaN,1.05772924606846,3.30695588604521
55,-0.132374024196355,NaN,NaN
70,NaN,0.825754725447462,3.59471439791476
75,-0.13588303221978,NaN,NaN
90,NaN,0.914593515575961,3.18125364492508
95,0.09834984037502,NaN,NaN
