t,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,0.000161489907932847,0.000170375754000181,0.000159908022431124
4.5,2.51011606290249e-05,NaN,NaN
5.5,NaN,2.77915363609903e-05,1.39396394754352e-05
9.5,2.37963027450377e-05,NaN,NaN
10,NaN,1.976063513398e-05,1.9096165275936e-05
15,2.09845704315277e-05,2.09790242456251e-05,2.05740886780247e-05
20,2.29140893839271e-05,NaN,NaN
25,2.15265512914216e-05,2.10377728521179e-05,2.17467028189411e-05
30,NaN,1.92649845772507e-05,2.2489866180364e-05
35,1.99877847894859e-05,NaN,NaN
40,NaN,1.90458685681175e-05,2.19356682356818e-05
