t,Compound_1_Obs,Compound_2_Obs,Compound_5_Obs,Compound_7_Obs,Compound_12_Obs
0,1.73118981706892,73.286765468168,0.099644635470287,-2.87847190979722,-1.03657461584891
10,NaN,18.4971650430301,NaN,68.7993437880583,19.2922182019118
15,1.47251301599816,NaN,NaN,NaN,NaN
20,NaN,NaN,0.623621054168176,NaN,23.5564248129085
25,NaN,32.2953180261699,NaN,40.6393763722853,NaN
30,NaN,NaN,NaN,NaN,15.3488208721676
35,1.37602957400727,NaN,NaN,NaN,NaN
40,NaN,43.3003056138212,0.448422872207822,19.6159846277417,14.8924980791939
55,1.59409400439452,53.1166184704809,NaN,13.6212420725803,10.6931681926012
60,NaN,NaN,4.42939768530252,NaN,NaN
70,NaN,55.6778096607176,NaN,15.7319540710024,11.9225016127032
75,1.33985050819536,NaN,NaN,NaN,NaN
80,NaN,NaN,5.16753985613492,NaN,NaN
85,NaN,NaN,NaN,9.18493096404074,9.03977648658655
90,NaN,70.5587238171049,NaN,NaN,NaN
100,1.66911732108248,63.85598875137,7.5966092569139,11.5053138405818,14.2053000178346
150,1.20831487606283,59.6818783955861,6.30911412817414,10.6369046125074,10.7882023417776
200,1.47736513839441,72.9275044599073,6.2696894017303,9.52479608202158,NaN
250,1.33027978062758,NaN,5.40811641648527,8.28010036795969,NaN
300,NaN,NaN,4.74329842208831,NaN,NaN
350,NaN,NaN,5.99648853857879,NaN,NaN
450,NaN,NaN,3.98078832087422,NaN,NaN
