t,pEpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,CISHnRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,0.0540516341124281,29.5824228065078,-0.000107766054188986,-0.000249205225230887,0.151580032079048,0.00334158808664278
15,0.495010554823908,NaN,NaN,NaN,NaN,NaN
20,NaN,26.4440933060554,NaN,0.00513394726490743,0.0717602298924211,0.0435296264136589
25,NaN,NaN,0.00139334922066666,NaN,NaN,NaN
35,0.324752051791809,NaN,NaN,NaN,0.268171431360081,0.0840020520489804
40,NaN,NaN,NaN,0.0252570994382408,NaN,NaN
45,NaN,27.7948337529964,NaN,NaN,NaN,NaN
50,0.270777962621684,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,0.0021084298552393,NaN,0.932614854880684,0.077154767401783
65,NaN,NaN,NaN,0.0297652009019643,NaN,NaN
70,0.237702879977452,28.4622647023988,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,1.40066252023808,0.0762650480595439
85,NaN,NaN,0.00236586288577006,NaN,NaN,NaN
90,0.215358065196624,NaN,NaN,0.0256785782191503,NaN,NaN
100,0.21920227745892,26.4233385617407,0.00228620642599936,0.023699897989948,1.72837563401692,0.072039305051627
150,0.241357412504595,22.7017145360794,0.00230541254004706,0.021134860596862,1.6522820350469,0.0591295388222085
200,0.212240616530994,28.2030008649149,0.00276497908246212,0.0209776327353991,1.597594097983,0.0691820160502609
250,0.192973826830662,29.0161745875457,0.00247978176969858,0.0185756395811425,1.55332069901486,0.0611185629005709
300,NaN,29.2569897881728,0.00268135765699818,0.0180257077244378,1.37039025747899,0.0645825312591697
350,NaN,NaN,0.00277315606439416,NaN,NaN,NaN
400,NaN,25.976356574302,NaN,NaN,NaN,NaN
450,NaN,NaN,0.00248725599726974,NaN,NaN,NaN
