t,pEpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,0.004365973647529,170.632123170371,0.000151919401045511,-0.00644647463644067,-0.00160177174533581,2.20887551431243,0.00464508553784244
3,NaN,156.145132783417,NaN,NaN,NaN,NaN,NaN
6,0.362376827576688,160.604869235673,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,0.00242558893400872,NaN,NaN
7.5,NaN,NaN,NaN,0.00763207792419211,NaN,NaN,NaN
9.5,NaN,167.253877109939,NaN,NaN,NaN,1.52142109910238,NaN
10,0.220254293661134,NaN,0.00272807240057329,NaN,NaN,NaN,0.0481693161537286
15,NaN,144.619374050112,NaN,0.0348455749778936,0.0178242448316068,NaN,NaN
20,0.161761429320058,NaN,NaN,NaN,0.016171187237121,1.5081309775881,0.0920716025181037
25,0.135294269950835,163.222686641892,0.00345394221919469,0.115857102007315,NaN,NaN,NaN
30,NaN,152.994926564758,NaN,0.15149945610235,0.0824316271233445,1.63769867482859,NaN
35,0.112879604345694,142.825977848599,0.00483519094141594,NaN,0.11327897078722,NaN,0.191658163215134
40,NaN,NaN,NaN,0.165854597154032,NaN,2.49019028198411,NaN
45,0.0855368342883857,NaN,NaN,NaN,0.147087988846222,NaN,0.213009315696052
50,NaN,NaN,0.00494104164140582,NaN,NaN,3.7763142241106,NaN
55,0.0651356684863533,NaN,NaN,0.147074534033144,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.144388445101774,NaN,0.176966983156239
65,NaN,NaN,0.00519223248137968,0.10853719791055,NaN,6.57671728210311,NaN
70,0.0446533767727399,NaN,NaN,NaN,0.1255756168884,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,7.62437812648444,NaN
80,NaN,NaN,0.00555467847957743,0.0669633839768769,NaN,NaN,0.117979602042317
85,0.060398000655818,NaN,NaN,NaN,0.0841017286478973,NaN,NaN
95,NaN,NaN,NaN,0.0452003957870611,NaN,8.19538706610208,0.101225363181845
100,0.0463599007035972,NaN,0.0052752013832803,0.044269227124286,0.0654322720208975,8.12268267843421,0.0893871818305128
150,NaN,NaN,0.00470628570578197,0.0223275272956767,0.0244861087648739,4.9594640305977,0.055426445286832
200,NaN,NaN,0.00610218005968395,NaN,NaN,4.4956260224123,0.0814047702186374
