t,CISHnRNA5_Obs,SOCS3nRNA2_Obs,Compound_1_Obs
0,0.000104540371661011,0.000808387575514099,0.000113752692497429
4.5,NaN,0.000207249385119754,NaN
5.5,NaN,NaN,0.000111330062611522
6.5,0.000106138146444709,NaN,NaN
9,NaN,0.000197491646606223,NaN
10,NaN,NaN,9.80804155670698e-05
15,9.29162522798952e-05,0.000235577798835339,8.76999476548175e-05
20,8.17128467329695e-05,0.000215872094011103,NaN
25,NaN,0.000173752664336595,5.58097378707523e-05
30,5.22689525198785e-05,NaN,4.07071590618271e-05
35,3.40997572418629e-05,0.00018804534188004,NaN
40,NaN,NaN,2.41402267831786e-05
45,2.07689323771788e-05,NaN,NaN
55,3.48652894875722e-05,NaN,NaN
70,2.17961913380104e-05,NaN,NaN
85,3.15016354168582e-05,NaN,NaN
100,1.62440329778836e-05,NaN,NaN
