t,pEpoRpJAK2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs
0,-0.0435969206357443,-2.43895510680126,17.7948230576066,-3.57307560991156,0.890431815377691
8.5,NaN,NaN,NaN,28.4546432359286,NaN
9.5,0.364665578949173,NaN,NaN,NaN,NaN
10,NaN,2.67805581978048,NaN,NaN,NaN
15,NaN,NaN,23.9447337553325,21.021654036705,6.97169390838632
20,0.166216851591889,NaN,NaN,NaN,NaN
25,NaN,8.99845634190263,NaN,12.5779792189794,NaN
30,0.120556710767355,NaN,27.0686331948986,NaN,NaN
35,NaN,12.6455416556803,NaN,13.4933622833032,14.4386392738609
45,0.161204202959508,16.9766481523101,27.3519714208428,NaN,NaN
50,NaN,NaN,NaN,9.37655044564176,NaN
55,0.132444986029402,NaN,NaN,NaN,17.6799255328217
60,NaN,16.9787936106928,32.5292635853956,11.2385639738019,NaN
70,NaN,NaN,NaN,NaN,17.9101499256313
75,0.165934751418755,17.7477256241628,NaN,NaN,NaN
80,NaN,NaN,30.174498979161,11.2526165057021,NaN
90,NaN,17.3188090370702,NaN,NaN,NaN
95,0.154577486307993,NaN,NaN,NaN,17.445932830001
100,0.164166293038117,17.2456886349824,27.8405004562828,8.00253515752067,15.714760797889
150,NaN,10.7859089485615,28.8729831893636,NaN,14.1794429629042
200,NaN,9.92074160893958,-0.457097099399343,NaN,12.0640745793678
250,NaN,16.0206556083365,8.8338314802799,NaN,15.8970218259276
300,NaN,6.59702068629569,NaN,NaN,17.1462245881022
350,NaN,NaN,NaN,NaN,14.748480601685
