t,STAT5_Obs,CISHnRNA3_Obs,Compound_2_Obs
0,55.130885658396,0.000178056341888638,3.3873293828381
15,28.3532359905668,NaN,3.11258564035248
20,NaN,0.0173182947280833,NaN
30,NaN,NaN,4.67419402828731
35,27.5162869348637,0.0493705006650946,NaN
50,30.4561033556927,NaN,9.04768539990933
55,NaN,0.044795669147793,NaN
65,NaN,NaN,12.1435623888341
70,41.0325648704149,NaN,NaN
80,NaN,0.0187854046008049,NaN
90,37.5052923738278,NaN,10.5136323971955
100,47.6087552635879,0.0131003921240082,10.347001457195
150,54.4944875489303,0.00550819802240586,5.98512068315731
200,56.2296007818815,0.0065050681575837,4.83913454929721
250,55.8352821845687,0.0076281646902965,6.17149084145145
300,44.6889132180909,NaN,NaN
