t,CISHnRNA3_Obs,Compound_2_Obs
0,0.00170593925390684,3.32296575453682
8,NaN,4.18048071865287
8.5,0.00529722218924126,NaN
15,NaN,2.8726643578406
20,0.0469650656451664,NaN
25,0.054998123267531,5.01051917270375
35,0.0707887267011445,8.42037171793619
45,NaN,14.2473387703269
50,0.0583135927801079,NaN
55,NaN,16.6722219608225
60,0.0512256143058296,NaN
70,NaN,18.9234169256346
75,0.0345752627427541,NaN
85,NaN,19.1734648398249
95,0.0194848046398677,NaN
100,0.0176677772257846,15.3544444564694
150,0.0113002861806386,7.13931320817529
