t,STAT5_Obs,CISHnRNA3_Obs,Compound_2_Obs,Compound_3_Obs
0,60.5635273226481,0.000179387119927549,2.47175805958812,60.1696177129371
5.5,37.9273643393713,NaN,NaN,NaN
6.5,NaN,NaN,3.23969994242146,NaN
7.5,NaN,0.00054118008314046,NaN,NaN
10,36.0120530943972,NaN,NaN,38.6834665477062
15,33.5696793011186,0.0103339322279261,2.2825429842992,NaN
20,NaN,NaN,3.79522974437436,37.3546827848943
25,28.1943740920922,0.024962732468782,NaN,NaN
30,27.4503774876129,0.0408386897172709,3.63791009319154,47.1045033785845
35,26.6811883722057,NaN,5.23548600370407,NaN
40,NaN,0.0333197874544153,NaN,51.8218559174573
45,38.9238947340023,NaN,6.82244021018106,NaN
50,NaN,0.0359116888917382,NaN,NaN
55,35.228925281518,NaN,12.354101956153,77.5477464768353
65,36.6851814354083,0.0263136077264864,NaN,NaN
70,NaN,NaN,14.5217304516633,64.7822112799975
80,42.1581164288057,0.0214776195347797,16.5761020894414,NaN
85,NaN,NaN,NaN,65.8770474599918
90,49.787568359841,NaN,NaN,NaN
95,NaN,0.0141912313881354,NaN,NaN
100,57.2004882841019,0.0111841065716407,10.2798844667221,71.6796453062883
150,50.4729614614015,0.00453259305100629,5.84212028465571,51.6527028110026
200,NaN,NaN,NaN,50.2944276424493
