t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTPAct_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs
0,3.06285056451503,-0.00530365130108222,0.00342596183785948,0.00104508304371253,0.555015913602197,0.00218801503189904,0.000308808619639864,0.00618982932737718,0.0303332389716616,0.0150286396027576,0.0213018275400031
5,3.30137826102053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,1.68204274692429,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,0.209904787220508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,0.0960789487562202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00459954742185505,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0204416294769337,0.0277236384998663,0.0187536724556042
10,3.25182263331995,NaN,0.133369719307032,NaN,3.19581226917396,0.0113031904287865,0.00775623041134256,NaN,NaN,NaN,NaN
15,3.32398806465298,0.0865307055641071,NaN,0.00204728217389315,4.11685428831876,NaN,NaN,-0.000828732337695893,NaN,NaN,0.0222472312311458
20,3.61539296715483,0.0731863706320268,0.0799592858490904,NaN,5.04295671999338,0.0165746760454264,0.0155166900740449,NaN,0.0315728116411774,0.0197774645067831,NaN
25,3.71320679414075,NaN,0.0690414941119085,0.00329545130464059,NaN,NaN,NaN,0.0176298840524303,0.0340092896587203,0.038884302961886,0.0272938703468108
30,NaN,0.0855595274860869,NaN,NaN,3.53669786859095,NaN,0.018719158183915,0.04273813494359,NaN,NaN,NaN
35,3.4014204385791,0.0695618977020988,0.0540330280447882,NaN,3.86971910206041,0.0175244744423767,NaN,NaN,NaN,0.0346979788048547,0.0283023072644986
40,NaN,NaN,NaN,0.00561374559779517,NaN,NaN,0.016581548915708,0.0515894413131822,0.0321243926451235,NaN,NaN
45,3.35925992138933,0.0646788162064468,0.0622882147684352,NaN,2.87490242220589,0.0111164370608127,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0653264007327952,0.0360311969101021,0.0439688216257689,0.0357931254679942
55,3.5712211092116,NaN,0.0257393056070941,0.00460042534504446,2.57574242361781,NaN,0.0120824241301937,NaN,NaN,NaN,NaN
60,NaN,0.0425468467418719,NaN,NaN,NaN,0.0101218327013466,NaN,NaN,0.0318338838586161,0.0395810895296254,0.0382154182902783
65,3.65092530239546,NaN,NaN,NaN,0.838090585913714,NaN,NaN,0.0532447923883817,NaN,NaN,NaN
70,NaN,NaN,0.0254403271943861,0.00462583840924005,NaN,NaN,0.00597875526085878,NaN,NaN,NaN,NaN
75,NaN,0.0456763523898172,NaN,NaN,NaN,0.00558614886044029,NaN,NaN,NaN,0.0300935993843567,0.0363971110364377
80,3.45824177627027,NaN,NaN,NaN,0.409929029395864,NaN,NaN,0.0472864370119757,0.0192065570591806,NaN,NaN
85,NaN,NaN,0.0254265622030449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,0.0577321574684474,NaN,0.00584447212448948,NaN,NaN,0.00247346354320457,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,1.12606107802542,0.00291414173837369,NaN,0.023722984190284,0.0184194749192353,0.0406535573473473,0.0224457380946614
100,NaN,0.0443296197609937,0.0233504309169423,0.00543719155501883,1.03712148294428,0.00323378518068897,0.00252638215117456,0.0396889711946972,0.0222386104518915,0.0162113790042241,0.0243947926489971
150,NaN,NaN,NaN,0.00586102073575016,NaN,0.00286690345599499,0.00341286395981986,0.0160692544212762,0.0219467384336915,0.0220591634546288,0.0194024430813649
200,NaN,NaN,NaN,0.00622972353808916,NaN,NaN,NaN,NaN,NaN,NaN,NaN
