t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.0968857182016176,0.00325776034196518,-0.00215661550159783,0.00218695457842614,0.000602352190807106,0.000976308815598504,0.00084703274657686
9,NaN,NaN,NaN,NaN,NaN,NaN,0.00070439259158254
10,NaN,NaN,NaN,NaN,NaN,0.000859350966863296,NaN
15,0.00749885717085088,0.0139315494087113,0.0700604011793142,NaN,0.000472610166662421,NaN,NaN
20,NaN,NaN,NaN,0.119262312487469,NaN,0.000898728985727529,0.0008226861035179
25,0.00620655193417607,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,0.0601180622582972,NaN,0.000662509181037604,NaN,0.000840296377931155
35,NaN,0.0277792689658474,NaN,0.099049301502589,NaN,0.000837431987748295,NaN
40,0.01051375162663,NaN,NaN,NaN,NaN,NaN,0.000929244954170703
45,NaN,NaN,0.053814080056527,NaN,0.0007365420699487,NaN,NaN
50,NaN,0.0305803841934325,NaN,NaN,NaN,0.000864003624310441,0.000960588636868872
55,0.0165675175816588,NaN,NaN,0.0785173243608503,NaN,NaN,NaN
60,NaN,NaN,0.0445540004295473,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.000808580370828575,0.000922079826579767,0.000917089949011052
70,0.0206672761948639,0.0338143364566979,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,0.0396176868604457,0.0515537700031576,NaN,0.00088618536956689,0.000866738792341428
85,NaN,NaN,NaN,NaN,0.000834426338398288,NaN,NaN
90,0.0200229991561765,0.0312191606290538,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,0.00079480085146519
100,0.0183112141541168,0.0342693522867141,0.0367662668654342,0.0579409597337334,0.000724811828654084,0.000826474196494065,0.000633630508109689
150,0.0300101355363064,0.0374684379281063,0.0325929678644592,0.0408219593042462,0.000727976580340331,0.0010210742359771,NaN
200,0.0253351062804098,0.0394972046352092,0.0290126372149484,0.0394095411809064,0.000872724960767038,NaN,NaN
250,0.0312481010377451,0.0421410112460408,0.0209079116237473,0.0384712710519296,0.000798943886666531,NaN,NaN
300,NaN,NaN,NaN,NaN,0.000704036591748899,NaN,NaN
