t,CIS_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,0.076195720287721,0.0132807050634389,0.00900785266645132
9.5,NaN,0.0202401369997903,NaN
10,NaN,NaN,0.00918453611910212
15,0.0844888417067589,NaN,NaN
20,NaN,0.0999789025293685,0.0115536902201745
25,0.0963599752167073,NaN,NaN
30,NaN,0.154264040222375,0.02177141533912
40,0.294894230095742,NaN,NaN
45,NaN,0.178282080658229,0.0534855529946492
55,NaN,0.15213839007683,0.0802437514023667
60,1.74120362591718,NaN,NaN
70,NaN,0.127212753762953,NaN
75,NaN,NaN,0.112063543278017
80,4.07844127999874,NaN,NaN
90,NaN,0.0685267449872448,NaN
95,NaN,NaN,0.1058022508336
100,8.39778534657542,0.0511337032885472,0.101079214403216
150,9.61371754437397,0.0489818875788864,0.039181171285131
