t,EpoRJAK2_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA3_Obs
0,1.969250627463,0,6.49690224934486e-05,7.28612410368825e-05,0.000121627332982023,0.00499008501084475
6,0.966237181491147,NaN,NaN,NaN,NaN,0.00453016867328703
6.5,NaN,5.27561999397645,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,0.000206492020788061,NaN
9,NaN,NaN,0.0131075663791226,NaN,NaN,NaN
10,0.771406802689276,NaN,NaN,0.00514058566746068,NaN,0.00778065234297579
15,NaN,8.69547359475912,NaN,NaN,0.00336046370670195,NaN
20,1.34380763042911,6.67850430784582,0.0517291248318055,0.0349365154476434,NaN,0.0166262560864661
25,1.33385664474813,6.9805328093893,NaN,NaN,0.0208539782013113,0.0271904332925229
30,NaN,NaN,0.0663856660186082,0.0825209825173778,0.0426397172039482,NaN
35,1.26709436776481,3.10303676802276,NaN,NaN,NaN,0.0308362070313134
40,1.92748422333097,NaN,0.0389269697756101,NaN,0.0649072819614352,0.0258728001167149
45,NaN,4.65003405601703,NaN,0.0583728710485648,NaN,NaN
50,1.59385399884097,NaN,0.0302167768643193,NaN,NaN,0.0140397680779469
55,NaN,1.95122316436595,NaN,0.0359969964138586,0.0520663746157563,NaN
60,NaN,NaN,NaN,NaN,NaN,0.0117772412842032
65,1.36134496899071,NaN,0.0225898612916403,NaN,0.02844259759211,NaN
70,NaN,1.89375134969379,NaN,0.0217269380293244,NaN,NaN
75,1.73943844181422,NaN,NaN,NaN,NaN,0.00986527616727548
80,NaN,NaN,0.0106741414439769,NaN,0.0218592309805987,NaN
85,NaN,1.23563615821012,NaN,NaN,NaN,NaN
90,1.97774677384709,NaN,NaN,0.0138634352043523,NaN,0.00509859625265438
100,1.78597376643195,1.26856115455833,0.00815517173278223,0.0139797199729028,0.0140736650349117,0.0060986281444702
150,NaN,NaN,0.00708866859815266,0.0094939802157035,NaN,NaN
