t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHnRNA4_Obs,CISHRNA_Obs,CIS_Obs,SOCS3RNA_Obs
0,-0.0105176116309993,-0.822711156614707,-0.00493275081951092,0.0021722533453475,-0.421065730882345,0.0439604223970081
5,0.425340069989774,NaN,NaN,NaN,NaN,NaN
8,NaN,34.542312774904,NaN,NaN,0.125451201638741,NaN
9.5,NaN,NaN,NaN,NaN,NaN,0.0354223017463966
10,0.245539373710128,NaN,-0.00297256318353752,0.000849075099638079,NaN,NaN
15,0.177589242042137,30.7438809778709,NaN,NaN,-0.83269781928702,NaN
20,0.140933971494267,NaN,0.0145765991342375,0.00453329622663108,NaN,0.0443168847467361
25,0.132722478224454,26.9910808369159,NaN,NaN,-0.0457086625988199,NaN
30,NaN,NaN,NaN,0.0109700837274329,NaN,0.0592270310402071
35,0.106291764573645,23.653708781106,0.0578266714256289,NaN,0.228150687974049,NaN
40,NaN,22.4710803999863,NaN,0.025216710587318,NaN,0.0676549803363301
45,0.0836587783099405,NaN,0.0996815618432615,NaN,0.284385493798991,NaN
55,0.0593820359104411,17.042368848662,NaN,0.0684874881590091,2.67262840435497,0.106040399104756
60,NaN,NaN,0.133897204322656,NaN,NaN,NaN
65,0.0490905289594093,13.6552881708037,NaN,NaN,NaN,0.113511313805624
70,NaN,NaN,NaN,0.110611509259796,6.3822954394004,NaN
75,NaN,NaN,0.151827420710602,NaN,NaN,NaN
80,0.0609846883562582,9.78543191067643,NaN,NaN,NaN,0.124664234833602
85,NaN,NaN,NaN,0.142959901330161,9.65500217761973,NaN
95,NaN,9.69882740083138,0.128790530956244,NaN,NaN,0.12168122389147
100,NaN,7.35554966214512,0.124680631219923,0.143123972922994,14.9636731049408,0.105440486581454
150,NaN,4.2026555857798,0.0601994351026314,0.086134536651105,23.4471968273175,0.0635332475562227
200,NaN,6.45726032952421,0.0463051075165516,0.0485560366956931,24.0684061361926,0.0638598070272654
