t,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_11_Obs
0,2.8461062922734,34.8088428179547,6.65658588742876,-2.24142182146612,92.985732090945,-1.38817166671629
10,NaN,NaN,NaN,NaN,0.769378537992987,22.629841498772
15,2.10424393717392,43.0130334710854,78.398384335005,15.417270142071,NaN,NaN
25,NaN,NaN,56.2177636780979,NaN,6.29466891600575,40.7298506470789
30,1.67993712425495,44.3303383556516,NaN,24.4625247619234,NaN,NaN
35,NaN,NaN,NaN,NaN,19.4367442905536,NaN
40,NaN,NaN,55.0225274557255,NaN,NaN,35.5863088798333
45,2.15832380532148,56.3415065411136,NaN,21.9833659453271,NaN,NaN
50,NaN,NaN,NaN,NaN,32.9331530671538,28.6410058929467
55,NaN,NaN,40.0206928833758,NaN,NaN,NaN
60,NaN,50.1412613291402,NaN,19.6284396827037,NaN,NaN
65,2.04202500448195,NaN,NaN,NaN,38.4106844849885,NaN
70,NaN,NaN,NaN,NaN,NaN,26.6971430257978
75,NaN,47.6478326965158,29.3019940273173,NaN,NaN,NaN
80,NaN,NaN,NaN,13.3452802608433,45.7260933899252,NaN
85,1.77506899249277,NaN,NaN,NaN,NaN,20.3229952137435
90,NaN,NaN,26.2563052399606,NaN,NaN,NaN
95,NaN,49.8757896625177,NaN,NaN,NaN,NaN
100,2.21181871528101,27.2284093091909,27.1292555898308,10.5309929590903,52.9858499017334,14.7164286267094
150,2.42594918642452,34.2392465415712,32.6090123366888,7.75411500778244,49.3810566430813,17.7590945323866
200,2.14182714539812,41.602641427588,14.5988323820221,8.57590296727666,64.8417736346285,14.6483735106481
250,NaN,38.793208093608,16.8918390793911,10.0575374450859,NaN,17.5744878002304
300,NaN,NaN,21.0496991786652,9.26821176816133,NaN,NaN
