t,PTP_Obs,STAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,38.9238995965508,90.7785850000415,-0.798622289428502,5.57031184302211,0.00233059220668962,0.00115584182822518,1.10247057498699
4,34.7089053653238,NaN,NaN,NaN,NaN,NaN,NaN
7.5,41.2838188318173,NaN,NaN,NaN,NaN,NaN,NaN
10,39.5650917983819,10.4440212930542,NaN,NaN,NaN,NaN,NaN
15,41.5839897053105,NaN,11.2771419757694,28.0689098629667,NaN,0.00269134001756975,NaN
20,32.2837990866928,NaN,NaN,NaN,0.0054873907774728,NaN,1.03741641453265
25,NaN,14.527431284568,NaN,NaN,NaN,NaN,NaN
30,35.6544374949844,NaN,17.9087459872407,35.8549241624052,NaN,0.00472699554441365,NaN
35,40.7866458981082,19.084649295974,NaN,NaN,NaN,NaN,1.66825868791468
40,NaN,NaN,NaN,NaN,0.00564365681783617,NaN,NaN
45,30.8036859836359,NaN,16.779817684906,NaN,NaN,NaN,NaN
50,NaN,30.3232208732634,NaN,22.627840431595,NaN,0.00498784711632483,NaN
55,51.6735625881776,NaN,NaN,NaN,NaN,NaN,2.35071455433808
60,NaN,NaN,17.9052951794638,NaN,NaN,NaN,NaN
65,NaN,27.0380273741329,NaN,17.9654507249936,0.00388843134214377,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.00445938275716802,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,2.2611821693174
80,NaN,NaN,15.5355215118739,NaN,NaN,NaN,NaN
85,NaN,30.6118163363296,NaN,15.6933563952255,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.00466156885779415,0.00443649924018541,NaN
100,NaN,36.871351080252,13.1113542092614,12.5382552135559,0.00428158551227185,0.00410954589726843,2.17608337333556
150,NaN,38.4562863781425,17.5793711574324,23.6870631913218,0.00479051682162738,0.00279239947348986,2.24561069723929
200,NaN,40.1182420978282,14.5907310676344,16.816694723179,0.0023389839983398,0.00398433517882932,2.76709977432031
250,NaN,37.5726767684092,12.0273122698592,19.3429025278156,0.00416094760061798,0.00357767370178423,1.88061356942627
300,NaN,NaN,NaN,NaN,0.00430523814720377,NaN,2.19025882075146
350,NaN,NaN,NaN,NaN,NaN,NaN,2.3334913382476
